,Stock,Company Name,Sector,Shares Held or Principal Amt,ESG Risk,Market Value,% of Portfolio
0,AAPL,Apple Inc.,INFORMATION TECHNOLOGY,"1,027,632,887",17.0,"$179,434,978,000",4.74
1,MSFT,Microsoft Corporation,INFORMATION TECHNOLOGY,"523,749,870",15.0,"$161,477,322,000",4.26
2,AMZN,Amazon.com Inc.,CONSUMER DISCRETIONARY,"582,877,640",30.0,"$95,007,597,000",2.51
3,BP,BP p.l.c.,ENERGY,"1,950,622,815",NaN,"$63,141,660,522",1.67
4,TSLA,Tesla Inc.,CONSUMER DISCRETIONARY,"55,241,453",29.0,"$59,528,191,000",1.57
5,GOOGL,Alphabet Inc.,COMMUNICATIONS,"20,702,430",24.0,"$57,580,702,000",1.52
6,GOOG,Alphabet Inc.,COMMUNICATIONS,"19,016,293",,"$53,112,316,000",1.4
7,NVDA,NVIDIA Corporation,INFORMATION TECHNOLOGY,"180,881,694",13.0,"$49,355,380,000",1.3
8,BRK.B,Berkshire Hathaway Inc.,FINANCE,"102,305,819",,"$36,104,748,000",0.95
9,JNJ,Johnson & Johnson,HEALTH CARE,"200,799,189",25.0,"$35,587,638,000",0.94
10,UNH,UnitedHealth Group Incorporated (DE),HEALTH CARE,"69,016,614",18.0,"$35,196,406,000",0.93
11,META,NaN,COMMUNICATIONS,"149,971,299",33.0,"$33,347,618,000",0.88
12,IVV,iShares Core S&P 500,FINANCE,"71,694,332",NaN,"$32,527,001,000",0.86
13,V,Visa Inc.,FINANCE,"127,040,336",16.0,"$28,173,734,000",0.74
14,JPM,JP Morgan Chase & Co.,FINANCE,"201,689,773",29.0,"$27,494,349,000",0.73
15,PG,Procter & Gamble Company (The),CONSUMER STAPLES,"155,302,223",27.0,"$23,730,180,000",0.63
16,MA,Mastercard Incorporated,FINANCE,"65,371,984",17.0,"$23,362,639,000",0.62
17,XOM,Exxon Mobil Corporation,ENERGY,"275,079,344",36.0,"$22,718,802,000",0.6
18,HD,Home Depot Inc. (The),CONSUMER DISCRETIONARY,"72,085,771",13.0,"$21,577,436,000",0.57
19,PFE,Pfizer Inc.,HEALTH CARE,"408,084,122",25.0,"$21,126,515,000",0.56
20,ABBV,AbbVie Inc.,HEALTH CARE,"129,630,878",28.0,"$21,014,462,000",0.55
21,CVX,Chevron Corporation,ENERGY,"127,489,482",38.0,"$20,759,111,000",0.55
22,BAC,Bank of America Corporation,FINANCE,"498,629,990",27.0,"$20,553,528,000",0.54
23,CSCO,Cisco Systems Inc.,INFORMATION TECHNOLOGY,"351,582,807",12.0,"$19,604,258,000",0.52
24,LLY,Eli Lilly and Company,HEALTH CARE,"63,996,319",32.0,"$18,326,626,000",0.48
25,AAPL,Apple Inc.,INFORMATION TECHNOLOGY,"1,027,632,887",17.0,"$179,434,978,000",4.74
26,COST,Costco Wholesale Corporation,CONSUMER STAPLES,"31,340,294",24.0,"$18,047,310,000",0.48
27,AVGO,Broadcom Inc.,INFORMATION TECHNOLOGY,"28,569,124",22.0,"$17,989,404,000",0.48
28,TMO,Thermo Fisher Scientific Inc,HEALTH CARE,"30,297,974",14.0,"$17,895,500,000",0.47
29,PEP,PepsiCo Inc.,CONSUMER STAPLES,"104,077,985",16.0,"$17,420,573,000",0.46
30,KO,Coca-Cola Company (The),CONSUMER STAPLES,"279,114,132",23.0,"$17,305,077,000",0.46
31,ADBE,Adobe Inc.,INFORMATION TECHNOLOGY,"37,493,214",12.0,"$17,082,659,000",0.45
32,INTC,Intel Corporation,INFORMATION TECHNOLOGY,"341,450,251",17.0,"$16,922,274,000",0.45
33,MRK,Merck & Company Inc. (new),HEALTH CARE,"204,122,526",22.0,"$16,748,252,000",0.44
34,DIS,The Walt Disney Company,COMMUNICATIONS,"117,304,093",15.0,"$16,089,429,000",0.42
35,ACN,Accenture plc Class A (Ireland),INFORMATION TECHNOLOGY,"47,216,394",10.0,"$15,922,783,000",0.42
36,IXUS,iShares Core MSCI Total International Stock ETF,FINANCE,"238,910,598",NaN,"$15,906,667,000",0.42
37,ABT,Abbott Laboratories,HEALTH CARE,"132,854,732",25.0,"$15,724,690,000",0.42
38,VZ,Verizon Communications Inc.,UTILITIES AND TELECOMMUNICATIONS,"304,700,845",18.0,"$15,521,461,000",0.41
39,CMCSA,Comcast Corporation Class A Common Stock,COMMUNICATIONS,"319,288,132",25.0,"$14,949,068,000",0.39
40,CRM,Salesforce.com Inc,INFORMATION TECHNOLOGY,"68,577,531",13.0,"$14,560,380,000",0.38
41,TXN,Texas Instruments Incorporated,INFORMATION TECHNOLOGY,"75,269,448",,"$13,810,434,000",0.36
42,WMT,Walmart Inc.,CONSUMER STAPLES,"92,319,285",25.0,"$13,748,190,000",0.36
43,WFC,Wells Fargo & Company,FINANCE,"275,549,536",33.0,"$13,353,131,000",0.35
44,DHR,Danaher Corporation,HEALTH CARE,"45,427,110",12.0,"$13,325,135,000",0.35
45,AMD,Advanced Micro Devices Inc.,INFORMATION TECHNOLOGY,"119,569,366",,"$13,073,716,000",0.35
46,QCOM,QUALCOMM Incorporated,INFORMATION TECHNOLOGY,"82,022,847",17.0,"$12,534,730,000",0.33
47,INTU,Intuit Inc.,INFORMATION TECHNOLOGY,"26,048,746",16.0,"$12,525,279,000",0.33
